"PRIMARY","COLUMN_NAME","FILE_1_DATA","FILE_2_DATA","IMAGE_NAME"
" 696726","Q45","C","*","696726.jpg"
" 696742","Q59","C","*","696742.jpg"
" 696855","Q90","C","*","696855.jpg"
" 696860","Q4","","B","696860.jpg"
" 696998","Q47","","A","696998.jpg"
" 630116","Q26","","D","630116.jpg"
" 630138","Q73","","C","630138.jpg"
" 630069","Q24","D","*","630069.jpg"
" 630067","Q32","D","*","630067.jpg"
" 630344","Q2","C","*","630344.jpg"
" 630355","Q64","","C","630355.jpg"
" 630360","Q71","","B","630360.jpg"
" 630325","Q6","","C","630325.jpg"
" 630325","Q71","","C","630325.jpg"
" 630310","Q82","","B","630310.jpg"
" 630311","Q18","A","*","630311.jpg"
" 630311","Q91","B","*","630311.jpg"
" 630246","Q57","B","*","630246.jpg"
" 630225","Q97","A","*","630225.jpg"
" 630230","Q44","","B","630230.jpg"
" 630230","Q66","*","D","630230.jpg"
" 630230","Q96","","A","630230.jpg"
" 616085","Q39","D","*","616085.jpg"
" 616112","Q52","","B","616112.jpg"
" 616129","Q83","*","B","616129.jpg"
" 616152","Q51","*","C","616152.jpg"
" 616166","Q18","C","*","616166.jpg"
" 616170","Q17","","D","616170.jpg"
" 616177","Q19","C","*","616177.jpg"
" 616311","Q40","C","*","616311.jpg"
" 698697","Q1","C","*","698697.jpg"
" 698747","Q53","","D","698747.jpg"
" 698747","Q62","*","A","698747.jpg"
" 698747","Q90","*","A","698747.jpg"
" 698891","Q46","","C","698891.jpg"
" 740636","Q60","C","*","740636.jpg"
" 740642","Q37","D","*","740642.jpg"
" 740508","Q55","C","*","740508.jpg"
" 740349","Q93","","B","740349.jpg"
" 740556","Q41","D","*","740556.jpg"
" 740662","Q27","A","*","740662.jpg"
" 693568","Q63","*","D","693568.jpg"
" 693628","Q9","*","B","693628.jpg"
" 693629","Q36","D","*","693629.jpg"
" 693727","Q61","","B","693727.jpg"
" 693728","Q55","D","*","693728.jpg"
" 693696","Q9","C","*","693696.jpg"
" 693757","Q2","B","*","693757.jpg"
" 693776","Q31","D","*","693776.jpg"
" 693820","Q82","","C","693820.jpg"
" 693895","Q55","","A","693895.jpg"
" 693920","Q75","D","*","693920.jpg"
" 693643","Q77","C","*","693643.jpg"
" 654706","Q19","","C","654706.jpg"
" 654625","Q30","A","*","654625.jpg"
" 654654","Q56","D","*","654654.jpg"
" 654675","Q18","","D","654675.jpg"
" 654745","Q51","","D","654745.jpg"
" 654771","Q86","D","*","654771.jpg"
" 614316","Q99","","D","614316.jpg"
" 614323","Q93","","B","614323.jpg"
" 614340","Q88","","B","614340.jpg"
" 614282","Q56","D","*","614282.jpg"
" 614195","Q36","","A","614195.jpg"
" 614156","Q39","C","*","614156.jpg"
" 614098","Q61","","A","614098.jpg"
" 724330","Q31","","A","724330.jpg"
" 724319","Q73","C","*","724319.jpg"
" 724268","Q39","","B","724268.jpg"
" 724192","Q61","A","*","724192.jpg"
" 724192","Q81","A","*","724192.jpg"
" 724196","Q66","D","*","724196.jpg"
" 737545","Q63","","D","737545.jpg"
" 737534","Q94","","B","737534.jpg"
" 737627","Q44","","B","737627.jpg"
" 737551","Q73","","C","737551.jpg"
" 737549","Q61","","C","737549.jpg"
" 737511","Q31","D","*","737511.jpg"
" 737482","Q59","","C","737482.jpg"
" 737275","Q86","","A","737275.jpg"
" 737293","Q87","A","*","737293.jpg"
" 737305","Q99","D","*","737305.jpg"
" 664407","Q84","*","D","664407.jpg"
" 664368","Q9","*","B","664368.jpg"
" 664264","Q56","","D","664264.jpg"
" 664268","Q76","","A","664268.jpg"
" 664164","Q50","C","*","664164.jpg"
